 NM2CA_c2.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.55536700 Hartree 
59   59

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 90
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   15.8241           0.0946           2.3855          29.7036    HO
   23.4173           0.1401           2.3415          26.4472    HO
   53.4449           0.3197           2.1730          19.6049    HO
   57.3904           0.3433           2.1515          19.0162    HO
   70.7834           0.4234           2.0796          17.2860    HO
   71.2683           0.4263           2.0771          17.2298    HO
   93.1637           0.5572           1.9633          15.0311    HO
  101.5674           0.6075           1.9209          14.3261    HO
  138.1317           0.8262           1.7439          11.8390    HO
  140.9137           0.8429           1.7309          11.6794    HO
  164.9906           0.9869           1.6217          10.4257    HO
  175.0152           1.0468           1.5778           9.9618    HO
  200.9542           1.2020           1.4683           8.8883    HO
  233.4554           1.3964           1.3394           7.7497    HO
  236.9114           1.4170           1.3262           7.6398    HO
  243.3053           1.4553           1.3021           7.4416    HO
  257.0944           1.5378           1.2513           7.0351    HO
  318.0284           1.9022           1.0452           5.5238    HO
  340.6757           2.0377           0.9760           5.0584    HO
  346.5368           2.0728           0.9587           4.9450    HO
  357.3949           2.1377           0.9273           4.7422    HO
  423.7156           2.5344           0.7535           3.6796    HO
  427.6571           2.5580           0.7441           3.6248    HO
  473.0554           2.8295           0.6428           3.0503    HO
  483.3507           2.8911           0.6215           2.9333    HO
  505.6348           3.0244           0.5775           2.6953    HO
  540.4003           3.2323           0.5143           2.3616    HO
  557.1837           3.3327           0.4860           2.2154    HO
  576.1600           3.4462           0.4557           2.0607    HO
  609.0970           3.6432           0.4070           1.8170    HO
  625.3194           3.7402           0.3848           1.7075    HO
  655.2186           3.9191           0.3466           1.5222    HO
  669.1434           4.0024           0.3300           1.4428    HO
  679.0552           4.0617           0.3186           1.3886    HO
  761.5411           4.5550           0.2370           1.0082    HO
  764.6658           4.5737           0.2343           0.9960    HO
  767.2080           4.5889           0.2321           0.9862    HO
  785.1327           4.6961           0.2174           0.9194    HO
  790.0015           4.7253           0.2136           0.9020    HO
  815.1775           4.8758           0.1946           0.8172    HO
  880.7576           5.2681           0.1524           0.6307    HO
  901.6289           5.3929           0.1409           0.5805    HO
  909.7418           5.4415           0.1366           0.5620    HO
  921.2820           5.5105           0.1308           0.5367    HO
  947.1503           5.6652           0.1185           0.4840    HO
 1012.1022           6.0537           0.0923           0.3727    HO
 1028.6402           6.1526           0.0866           0.3486    HO
 1052.0530           6.2927           0.0790           0.3171    HO
 1075.9240           6.4355           0.0720           0.2877    HO
 1125.9535           6.7347           0.0591           0.2346    HO
 1139.7259           6.8171           0.0560           0.2217    HO
 1168.5387           6.9894           0.0499           0.1970    HO
 1174.3495           7.0242           0.0487           0.1923    HO
 1196.5078           7.1567           0.0446           0.1755    HO
 1196.5871           7.1572           0.0446           0.1755    HO
 1219.9295           7.2968           0.0406           0.1593    HO
 1234.0691           7.3814           0.0384           0.1503    HO
 1242.3086           7.4307           0.0371           0.1452    HO
 1261.0513           7.5428           0.0344           0.1344    HO
 1291.6626           7.7259           0.0304           0.1183    HO
 1293.3045           7.7357           0.0302           0.1175    HO
 1322.8904           7.9126           0.0268           0.1038    HO
 1339.5508           8.0123           0.0250           0.0968    HO
 1346.5111           8.0539           0.0243           0.0941    HO
 1350.0961           8.0754           0.0240           0.0927    HO
 1358.0397           8.1229           0.0232           0.0896    HO
 1377.5715           8.2397           0.0214           0.0826    HO
 1432.3834           8.5676           0.0171           0.0656    HO
 1441.3904           8.6214           0.0165           0.0631    HO
 1465.6975           8.7668           0.0149           0.0569    HO
 1510.2680           9.0334           0.0124           0.0471    HO
 1524.6212           9.1193           0.0116           0.0444    HO
 1525.2688           9.1231           0.0116           0.0442    HO
 1538.1691           9.2003           0.0110           0.0419    HO
 1578.3149           9.4404           0.0093           0.0353    HO
 1594.5096           9.5373           0.0087           0.0329    HO
 1665.5971           9.9625           0.0064           0.0243    HO
 1697.8627          10.1555           0.0056           0.0211    HO
 1852.1374          11.0783           0.0029           0.0109    HO
 3071.9251          18.3742           0.0000           0.0000    HO
 3080.1329          18.4233           0.0000           0.0000    HO
 3091.0374          18.4885           0.0000           0.0000    HO
 3112.9239          18.6194           0.0000           0.0000    HO
 3134.6528          18.7494           0.0000           0.0000    HO
 3148.9604          18.8350           0.0000           0.0000    HO
 3152.9857          18.8591           0.0000           0.0000    HO
 3229.4137          19.3162           0.0000           0.0000    HO
 3246.9875          19.4213           0.0000           0.0000    HO
 3287.7074          19.6649           0.0000           0.0000    HO
 3655.4402          21.8644           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       603.8474

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        53.9841

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       180.4932
 S rotational                   =       146.2840
 S vibrational HO               =       304.8918

 Stotal Harmonic oscillator     =       631.6690
 Hcorr                          =       657.8315
 Gcorr                          =       469.4994

