Name,Gas M062X,Water M062X,Penta M062X,Gas DSD,DGSolv water,DGSolv Penta,ZPVE,TC,S,TS,GSoln Gas,GSoln water,GSoln Penta
29CA,-1390.6712847,-1390.68089651,-1390.68314102,-1389.323947704,-25.235807155062957,-31.128768160279037,564.3896,48.5145,0.6188356,184.50583414,-3647233.7011396987,-3647258.936946854,-3647264.829907859
CP19CA,-1390.67250207,-1390.68223955,-1390.6844342,-1389.325070629,-25.565753740032847,-31.32780731467801,564.8389,48.2487,0.5885302,175.47027913,-3647227.4303242774,-3647252.9960780176,-3647258.758131592
NM3CA,-1390.67507457,-1390.68392069,-1390.68684166,-1389.3280690406,-23.225488059518057,-30.89449479479299,564.0807,48.6911,0.6124995,182.61672592499997,-3647242.7649007277,-3647265.9903887874,-3647273.6593955224
CP21CA,-1479.61064873,-1479.62903231,-1479.62403565,-1478.1698398529,-48.26608928964106,-35.14735845974428,617.3017,54.0432,0.6373903000000001,190.037917945,-3880445.6822604407,-3880493.94834973,-3880480.8296189005
CP22CA,-1950.29244997,-1950.30106446,-1950.30351214,-1948.6108134508,-22.617343494737156,-29.04372733515561,571.0071,54.188,0.6328801999999999,188.69323162999996,-5115633.263555412,-5115655.880898907,-5115662.307282748
NM2CA,-1268.12135168,-1268.13023659,-1268.1317342,-1266.7517755338,-23.327331205016094,-27.259306259720915,603.8474,53.9841,0.631669,188.33211235,-3325379.361985049,-3325402.689316254,-3325406.621291309
