Name,Gas M062X,Water M062X,Penta M062X,Gas DSD,DGSolv water,DGSolv Penta,ZPVE,TC,S,TS,GSoln Gas,GSoln water,GSoln Penta
29U,-1370.79443712,-1370.81485347,-1370.81148663,-1369.4618053852,-53.603126924416074,-44.76348850468196,595.7802,49.559,0.6069424999999999,180.95990637499997,-3595049.6654539253,-3595103.2685808497,-3595094.42894243
CP19U,-1370.79640323,-1370.81640948,-1370.81294479,-1369.4637195012,-52.526409375134676,-43.42986578046714,595.8443,49.4966,0.5998367,178.841312105,-3595052.570671213,-3595105.097080588,-3595096.000536993
NM3U,-1370.79917497,-1370.81811327,-1370.81539786,-1369.4668693826,-49.7225066498562,-42.593197695284175,595.4274,49.9262,0.6219992,185.44906147999998,-3595067.435734203,-3595117.158240853,-3595110.0289318985
CP21U,-1459.73505193,-1459.763523,-1459.75292541,-1458.3088549963,-74.75079428506103,-46.9268217398286,648.2907,55.3679,0.6484865,193.34624997499998,-3828271.661151468,-3828346.411945753,-3828318.5879732077
CP22U,-1930.41687328,-1930.43550972,-1930.43240694,-1928.7497781883,-48.92997322035876,-40.78362433019356,602.2771,55.4998,0.6471596,192.95063473999997,-5063459.791076829,-5063508.721050049,-5063500.574701159
NM2U,-1248.24573106,-1248.26450987,-1248.26058186,-1246.8908022715,-49.30376565488962,-38.99077539993834,635.2711,55.1865,0.6406748,191.01719161999998,-3273204.4356641504,-3273253.7394298054,-3273243.4264395502
