 CP21CA.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.52712800 Hartree 
56   56

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 90
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   18.2952           0.1094           2.3711          28.4978    HO
   24.6928           0.1477           2.3342          26.0067    HO
   38.7687           0.2319           2.2543          22.2632    HO
   47.6788           0.2852           2.2047          20.5494    HO
   52.5952           0.3146           2.1777          19.7374    HO
   62.0317           0.3710           2.1264          18.3740    HO
   78.2673           0.4681           2.0402          16.4593    HO
   81.9733           0.4903           2.0209          16.0794    HO
  135.9014           0.8129           1.7543          11.9695    HO
  148.2197           0.8866           1.6972          11.2757    HO
  182.1473           1.0895           1.5471           9.6495    HO
  189.3270           1.1324           1.5166           9.3488    HO
  199.6433           1.1941           1.4737           8.9386    HO
  218.0787           1.3044           1.3992           8.2634    HO
  239.5813           1.4330           1.3161           7.5563    HO
  254.9731           1.5251           1.2590           7.0958    HO
  306.0138           1.8304           1.0835           5.7898    HO
  310.4638           1.8570           1.0692           5.6897    HO
  330.9023           1.9792           1.0054           5.2537    HO
  351.8997           2.1048           0.9431           4.8437    HO
  359.4606           2.1501           0.9214           4.7046    HO
  379.9685           2.2727           0.8647           4.3484    HO
  420.3650           2.5143           0.7616           3.7268    HO
  448.4644           2.6824           0.6961           3.3490    HO
  481.5169           2.8801           0.6252           2.9538    HO
  517.0997           3.0929           0.5560           2.5804    HO
  531.9854           3.1820           0.5290           2.4384    HO
  565.3191           3.3814           0.4728           2.1477    HO
  566.8353           3.3904           0.4704           2.1353    HO
  583.5044           3.4901           0.4444           2.0038    HO
  616.2378           3.6859           0.3971           1.7680    HO
  639.7575           3.8266           0.3659           1.6155    HO
  716.1749           4.2837           0.2791           1.2029    HO
  732.2473           4.3798           0.2635           1.1301    HO
  764.6746           4.5738           0.2343           0.9960    HO
  783.6478           4.6873           0.2186           0.9248    HO
  790.1618           4.7262           0.2134           0.9015    HO
  791.0398           4.7315           0.2127           0.8984    HO
  843.5579           5.0456           0.1752           0.7307    HO
  870.9373           5.2094           0.1582           0.6557    HO
  872.2538           5.2172           0.1574           0.6523    HO
  904.2092           5.4084           0.1395           0.5745    HO
  934.3907           5.5889           0.1244           0.5094    HO
  984.1454           5.8865           0.1028           0.4172    HO
 1010.4140           6.0436           0.0929           0.3753    HO
 1025.0346           6.1311           0.0878           0.3538    HO
 1029.4921           6.1577           0.0863           0.3474    HO
 1075.0070           6.4300           0.0722           0.2888    HO
 1102.3261           6.5934           0.0649           0.2584    HO
 1121.9215           6.7106           0.0600           0.2385    HO
 1157.7957           6.9252           0.0521           0.2059    HO
 1162.1267           6.9511           0.0512           0.2022    HO
 1170.0411           6.9984           0.0496           0.1957    HO
 1197.2527           7.1612           0.0445           0.1750    HO
 1215.2534           7.2688           0.0414           0.1624    HO
 1232.1818           7.3701           0.0387           0.1514    HO
 1260.2973           7.5383           0.0345           0.1348    HO
 1261.7373           7.5469           0.0343           0.1340    HO
 1280.7572           7.6606           0.0318           0.1238    HO
 1294.4894           7.7428           0.0300           0.1169    HO
 1308.2195           7.8249           0.0284           0.1104    HO
 1339.4748           8.0118           0.0250           0.0969    HO
 1340.7462           8.0195           0.0249           0.0964    HO
 1349.1574           8.0698           0.0240           0.0930    HO
 1356.3307           8.1127           0.0233           0.0903    HO
 1379.5150           8.2513           0.0212           0.0819    HO
 1433.5863           8.5748           0.0170           0.0652    HO
 1443.5702           8.6345           0.0163           0.0625    HO
 1460.3982           8.7351           0.0152           0.0582    HO
 1510.7523           9.0363           0.0123           0.0470    HO
 1524.6023           9.1192           0.0116           0.0444    HO
 1525.2436           9.1230           0.0116           0.0442    HO
 1536.8860           9.1926           0.0111           0.0421    HO
 1547.3105           9.2550           0.0106           0.0403    HO
 1585.9296           9.4860           0.0090           0.0342    HO
 1658.7988           9.9218           0.0066           0.0250    HO
 1672.6409          10.0046           0.0063           0.0236    HO
 1855.9574          11.1011           0.0029           0.0107    HO
 3072.3961          18.3770           0.0000           0.0000    HO
 3080.1768          18.4236           0.0000           0.0000    HO
 3091.6871          18.4924           0.0000           0.0000    HO
 3113.0114          18.6200           0.0000           0.0000    HO
 3135.2842          18.7532           0.0000           0.0000    HO
 3149.3511          18.8373           0.0000           0.0000    HO
 3153.5388          18.8624           0.0000           0.0000    HO
 3207.9493          19.1878           0.0000           0.0000    HO
 3232.9707          19.3375           0.0000           0.0000    HO
 3234.5917          19.3472           0.0000           0.0000    HO
 3286.3808          19.6569           0.0000           0.0000    HO
 3652.6874          21.8479           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       617.3017

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        54.0432

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       180.3328
 S rotational                   =       145.5197
 S vibrational HO               =       311.5377

 Stotal Harmonic oscillator     =       637.3903
 Hcorr                          =       671.3448
 Gcorr                          =       481.3069

